title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords
Ruby,Curtis Harrington,1977,United States,,7%,https://resizing.flixster.com/u337wGou7nuJQIjyZSveYzkLPeo=/206x305/v1.bTsxMTMyNTM2NDtqOzE3MzY2OzEyMDA7MTkyNDsyOTMz,https://rottentomatoes.com/m/ruby,,
Satan's Cheerleaders,Greydon Clark,1977,United States,,32%,https://resizing.flixster.com/uOjUGktjTz7anPa6DVuDqhjYydc=/206x305/v1.bTsxMTIxNTc3OTtqOzE3MzY0OzEyMDA7MTU0MTsyMTYw,https://rottentomatoes.com/m/satans_cheerleaders,3.7,satanism::demon
The Sentinel,Michael Winner,1977,United States,58,43%,https://resizing.flixster.com/oQO650DrJbcQU2AFySbP6Fj3b4g=/206x305/v1.bTsxMTIxMDEwODtqOzE3MzY0OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/the_sentinel_1977,,
Sette note in nero,Lucio Fulci,1977,Italy,,73%,https://resizing.flixster.com/uWdWW980iRBTNWUpufIXhyvMU8M=/206x305/v1.bTsxMjExMTYyMjtqOzE3Mjg1OzEyMDA7MTgyOzI4MQ,https://rottentomatoes.com/m/sette_note_in_nero,7.0,gore
Shock,Mario Bava,1977,Italy,,44%,https://resizing.flixster.com/CJvxS3OIltGCAnVsVyxkJcGfneA=/206x305/v1.bTs5MzQwNjMyO2o7MTczNDM7MTIwMDsxNTE7MjAw,https://rottentomatoes.com/m/shock,,
Shock Waves,Ken Wiederhorn,1977,United States,,39%,https://resizing.flixster.com/KUXEK8WP8tPdaBXqGU5yAtW1_24=/206x305/v1.bTsxMTYxNDY5ODtqOzE3MzY5OzEyMDA7NjY2Ozk3OA,https://rottentomatoes.com/m/1018865-shock_waves,5.7,zombie
Suspiria,Dario Argento,1977,Italy,93,83%,https://resizing.flixster.com/BrUJmsWrj_XJL8YD9Tfo5BN5oEI=/206x305/v1.bTsxMTIxMTUwNztqOzE3MzY0OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/1020662-suspiria,7.5,gore::witchcraft
Tentacles,Ovidio G. Assonitis,1977,Italy & United States,0,9%,https://resizing.flixster.com/dz21L1F-9s9V7Am5YnSMsM7cOlk=/206x305/v1.bTsxMTU1MjIxODtqOzE3MzY4OzEyMDA7NTk3Ozc5Ng,https://rottentomatoes.com/m/tentacles,,
Tintorera,Ren&eacute; Cardona Jr.,1977,Mexico,,42%,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/tintorera,4.0,shark::based on novel
The Uncanny,Denis Heroux,1977,Canada & United Kingdom,,,,,,
Watch me when I Kill,Antonio Bido,1977,Italy,,48%,https://resizing.flixster.com/rsoF1w6WBtiL_e4kjS2jwtd1_Yk=/206x305/v1.bTsxMDg2NTI4MDtqOzE3MzYwOzEyMDA7MTEwOzE1NA,https://rottentomatoes.com/m/watch_me_when_i_kill,5.9,slasher::gore
